date,province,employment_rate,unemployment_rate,participation_rate,employed_thousands,unemployed_thousands,population_thousands,year,month,year_month,period,province_code,baseline_emp_rate,baseline_unemp_rate,emp_rate_vs_baseline,unemp_rate_vs_baseline
2019-01-01,Ontario,61.6,5.49,44.95,6108.2,544.0,14800.0,2019,1,2019-01,Pre-COVID (2019),ON,61.27,5.54,0.3299999999999983,-0.04999999999999982
2019-02-01,Ontario,61.63,5.65,45.08,6111.2,560.5,14800.0,2019,2,2019-02,Pre-COVID (2019),ON,61.27,5.54,0.35999999999999943,0.11000000000000032
2019-03-01,Ontario,61.45,5.48,44.84,6093.7,543.1,14800.0,2019,3,2019-03,Pre-COVID (2019),ON,61.27,5.54,0.17999999999999972,-0.05999999999999961
2019-04-01,Ontario,61.82,5.58,45.15,6129.7,553.0,14800.0,2019,4,2019-04,Pre-COVID (2019),ON,61.27,5.54,0.5499999999999972,0.040000000000000036
2019-05-01,Ontario,61.41,5.55,44.86,6089.0,550.8,14800.0,2019,5,2019-05,Pre-COVID (2019),ON,61.27,5.54,0.13999999999999346,0.009999999999999787
2019-06-01,Ontario,61.41,5.45,44.8,6089.1,540.8,14800.0,2019,6,2019-06,Pre-COVID (2019),ON,61.27,5.54,0.13999999999999346,-0.08999999999999986
2019-07-01,Ontario,61.55,5.31,44.79,6103.1,526.4,14800.0,2019,7,2019-07,Pre-COVID (2019),ON,61.27,5.54,0.27999999999999403,-0.23000000000000043
2019-08-01,Ontario,61.16,5.44,44.62,6064.1,539.8,14800.0,2019,8,2019-08,Pre-COVID (2019),ON,61.27,5.54,-0.11000000000000654,-0.09999999999999964
2019-09-01,Ontario,61.3,5.53,44.78,6078.3,548.5,14800.0,2019,9,2019-09,Pre-COVID (2019),ON,61.27,5.54,0.02999999999999403,-0.009999999999999787
2019-10-01,Ontario,61.32,5.36,44.67,6080.3,531.4,14800.0,2019,10,2019-10,Pre-COVID (2019),ON,61.27,5.54,0.04999999999999716,-0.17999999999999972
2019-11-01,Ontario,61.79,5.48,45.07,6127.4,543.1,14800.0,2019,11,2019-11,Pre-COVID (2019),ON,61.27,5.54,0.519999999999996,-0.05999999999999961
2019-12-01,Ontario,61.51,5.36,44.8,6099.7,531.3,14800.0,2019,12,2019-12,Pre-COVID (2019),ON,61.27,5.54,0.23999999999999488,-0.17999999999999972
2020-01-01,Ontario,61.39,5.51,44.82,6087.5,546.5,14800.0,2020,1,2020-01,Pre-COVID (2020),ON,61.27,5.54,0.11999999999999744,-0.03000000000000025
2020-02-01,Ontario,61.27,5.54,44.76,6075.5,549.1,14800.0,2020,2,2020-02,Pre-COVID (2020),ON,61.27,5.54,0.0,0.0
2020-03-01,Ontario,58.23,7.68,44.16,5774.1,761.1,14800.0,2020,3,2020-03,COVID Shock,ON,61.27,5.54,-3.0400000000000063,2.1399999999999997
2020-04-01,Ontario,51.4,12.67,42.93,5097.3,1256.1,14800.0,2020,4,2020-04,COVID Shock,ON,61.27,5.54,-9.870000000000005,7.13
2020-05-01,Ontario,54.67,10.17,43.45,5421.3,1008.6,14800.0,2020,5,2020-05,COVID Shock,ON,61.27,5.54,-6.600000000000001,4.63
2020-06-01,Ontario,57.46,8.32,44.07,5698.2,824.8,14800.0,2020,6,2020-06,COVID Shock,ON,61.27,5.54,-3.8100000000000023,2.7800000000000002
2020-07-01,Ontario,58.92,7.14,44.26,5842.2,708.2,14800.0,2020,7,2020-07,Early Recovery,ON,61.27,5.54,-2.3500000000000014,1.5999999999999996
2020-08-01,Ontario,59.45,6.77,44.37,5895.0,671.2,14800.0,2020,8,2020-08,Early Recovery,ON,61.27,5.54,-1.8200000000000003,1.2299999999999995
2020-09-01,Ontario,60.07,6.62,44.68,5956.8,656.4,14800.0,2020,9,2020-09,Early Recovery,ON,61.27,5.54,-1.2000000000000028,1.08
2020-10-01,Ontario,60.11,6.43,44.58,5960.7,637.1,14800.0,2020,10,2020-10,Early Recovery,ON,61.27,5.54,-1.1600000000000037,0.8899999999999997
2020-11-01,Ontario,60.05,6.24,44.41,5954.5,618.4,14800.0,2020,11,2020-11,Early Recovery,ON,61.27,5.54,-1.220000000000006,0.7000000000000002
